Route_ID	Route_Comb	Dup_Bw_Titles	Dup_Bw_Authors	Source_ID	Target_ID_All	Target_ID_0	Edition_ID	Matched_Entries	Last_Date	First_Date	Duration	Source_ID	Source_Location_Name_Standardized	Target_ID	Target_Location_Name_Standardized	interregional	international
1325	583;323;891;784;1329	FALSE	FALSE	583	323;891;784;1329	323	GG1602	4709	1602	1602	0	583	Hamburg	323	Cologne	TRUE	FALSE
1370	586;323;758	FALSE	FALSE	586	323;758	323	LA1597	3175	1597	1597	0	586	Hamm	323	Cologne	FALSE	FALSE
1919	846;323;1314	FALSE	FALSE	846	323;1314	323	GG1602	4758	1602	1602	0	846	Marburg	323	Cologne	TRUE	FALSE
2234	950;323;534;509;1012	FALSE	FALSE	950	323;534;509;1012	323	LA1597	3636	1597	1597	0	950	Namur	323	Cologne	TRUE	TRUE
2351	1011;323;481	FALSE	FALSE	1011	323;481	323	LZ1680	11502	1680	1680	0	1011	Nuremberg	323	Cologne	TRUE	FALSE
2411	1021;323	TRUE	TRUE	1021	323	323	JG1563;GMA1612;GMA1625	1242;6210;7942	1625	1563	62	1021	Offenburg	323	Cologne	TRUE	FALSE
2462	1041;323	FALSE	FALSE	1041	323	323	RV1576	2362	1576	1576	0	1041	Osnabrück	323	Cologne	TRUE	FALSE
3047	1314;323	FALSE	FALSE	1314	323	323	LA1597	3434	1597	1597	0	1314	Siegen	323	Cologne	FALSE	FALSE
3067	1329;323;758	FALSE	FALSE	1329	323;758	323	LA1597	3557	1597	1597	0	1329	Soest	323	Cologne	TRUE	TRUE
3068	1329;323;818;1551	FALSE	FALSE	1329	323;818;1551	323	LA1597	3556	1597	1597	0	1329	Soest	323	Cologne	TRUE	TRUE
3084	1343;323	FALSE	FALSE	1343	323	323	GG1602	4887	1602	1602	0	1343	Speyer	323	Cologne	TRUE	FALSE
3112	1368;323;1584	FALSE	FALSE	1368	323;1584	323	GG1602	4875	1602	1602	0	1368	Strasbourg	323	Cologne	TRUE	TRUE
3241	1432;323	FALSE	FALSE	1432	323	323	LA1597;LA1597;LA1597	3479;3480;3481	1597	1597	0	1432	Trier	323	Cologne	TRUE	FALSE
3542	1534;323;152;1010	FALSE	FALSE	1534	323;152;1010	323	LA1597	3522	1597	1597	0	1534	Wesel	323	Cologne	FALSE	FALSE
3543	1534;323;406;412	FALSE	FALSE	1534	323;406;412	323	LA1597	3521	1597	1597	0	1534	Wesel	323	Cologne	FALSE	FALSE
3653	1584;323	FALSE	FALSE	1584	323	323	CK1678	10867	1678	1678	0	1584	Zweibrücken	323	Cologne	TRUE	FALSE
