Edition_ID	Edition_Title	Edition_Author	Edition_Location	Language	Edition_Publisher	Edition_Date	Author_VIAF	Author_WikiData_AF	Title_USTC	Title_OCLC	Entered
CE1623	La Grande Guide des chemins pour aller et venir par tout le Royaume de France, auec les noms des fleuues et riuieres qui courent parmy les dicts pays Augmenté du voyage de Saint-Jacques, de Rome, de Venise et de Hierusalem	Charles Estienne	Troyes	French	Nicolas Oudot	1623	VIAF116409342	Q538586			FALSE
GH1624	Poste per diverse parti del mondo	Giovanni da l'Herba	Rome	Italian	Guglielmo Facciotti	1624	VIAF47104053		USTC 4004835		FALSE
TT1624	Sommaire description de la France, Allemagne, Italie et Espagne, avec le guide des chemins et des postes	Théodore Turquet de Mayerne	Rouen	French	Claude Le Villain	1624	95152542	Q19032157	USTC 6814851		FALSE
GK1625	Paradisus deliciarum Italiae: Dass ist, Eygentliche Beschreibung, Was durch gantz Italian in allen Stett und Ortten denckwürdig zu sehen ist Mit beygefügter Reiss, Bericht der Müntz, und Täglichem Colloquio	Georg Kranitz	Cologne	German	Konrad Bütgen	1625	47823349		USTC 2166281	562944563	TRUE
GMA1625A	Wegbüchlin der fürnemesten Wege und Gebreüchlichesten strasssen	Georg Mayr	Augsburg	German		1625	32051795			166121710	TRUE
GMA1625B	Wegbüchlin der fürnemesten Wege und Gebreüchlichesten strasssen	Georg Mayr	Dillingen	German	Erhard Lochner	1625	32051795		USTC 2111097		FALSE
AP1625A	Le cose meravigliose dell'alma città di Romacon le principali poste d'Italia	Andrea Palladio	Rome	Italian	Francesco Cavalli	1625	VIAF17227673	Q177692			FALSE
AP1625B	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Giacomo Mascardi;Mauritio Bona	1625	VIAF17227673	Q177692	USTC 4043022		FALSE
AP1625C	Les merveilles de la ville de Rome	Andrea Palladio	Rome	French	Guglielmo Facciotti	1625	VIAF17227673	Q177692		886417305	FALSE
AP1625D	Le cose meravigliose dell'alma città di Romacon le principali poste d'Italia	Andrea Palladio	Rome	Italian	Lodovico Grignani	1625	VIAF17227673	Q177692		1040201620	FALSE
GH1627	Poste per diverse parti del mondo	Giovanni da l'Herba	Venice	Italian	Ghirardo Imberti	1627	VIAF47104053				FALSE
OC1628	Nuouo itinerario delle poste per tutto il mondo	Ottavio Codogno	Venice	Italian	Gerardo Imberti	1628	17563002	Q7109118	USTC 4043830		FALSE
AM1628	Reportorio o itinerario de los mas principales, y mejores caminos de España	Alonso de Meneses	Murcia	Spanish		1628	VIAF49565855		USTC 5043245		FALSE
AP1628	Les merveilles de la ville de Rome	Andrea Palladio	Rome	French	Guglielmo Facciotti	1628	VIAF17227673	Q177692	USTC 4043829		FALSE
FS1628	Itinerario, overo nova descrittione de' viaggi principali d'Italia	Franciscus Schottus	Padua	Italian	Francesco Bolzetta;Heirs of Domenico Amadio	1628		Q15675601	USTC 4043803		TRUE
TT1629	Sommaire description de la France, Allemagne, Italie & Espagne	Théodore Turquet de Mayerne	Rouen	French	Claude Le Villain	1629	95152542	Q19032157	USTC 6813538		TRUE
AP1629	Le cose maravigliose dell'alma città di Romacon le poste d'Italia	Andrea Palladio	Rome	Italian	Guglielmo Facciotti	1629	VIAF17227673	Q177692		24813235	FALSE
FS1629	Itinerario, overo nova descrittione de' viaggi principali d'Italia	Franciscus Schottus	Padua	Italian	Francesco Bolzetta;Heirs of Domenico Amadio	1629		Q15675601	USTC 4043803		FALSE
AP1634	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Francesco Cavalli	1634	VIAF17227673	Q177692	USTC 4045368		FALSE
AM1636	Reportorio de caminos, va añadido el camino de Madrid a Roma	Alonso de Meneses	Barcelona	Spanish	Gracian	1636	VIAF49565855			968778383	FALSE
AP1636	Le cose maravigliose dell'alma città di Romacon le principali poste d'Italia	Andrea Palladio	Rome	Italian	Francesco Cavalli;Mauritio Bona	1636	VIAF17227673	Q177692	USTC 4008748		FALSE
AP1637	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Vitale Mascardi;Mauritio Bona	1637	VIAF17227673	Q177692	USTC 4012602		FALSE
FS1637	Itinerario, overo nova descrittione de' viaggi principali d'Italia	Franciscus Schottus	Rome	Italian		1637		Q15675601			FALSE
FS1638	Itinerario, overo nova descrittione de' viaggi principali d'Italia	Franciscus Schottus	Vicenza	Italian	Francesco Bolzetta;Heirs of Domenico Amadio	1638		Q15675601	USTC 4013438		FALSE
GH1639	Poste per diverse parti del mondo	Giovanni da l'Herba	Rome	Italian	Antonio Landini	1639	VIAF47104053		USTC 4013419		FALSE
